IP,Date,Explanation,High Cluster,Mid Cluster,Low Cluster,Fine Cluster
117.27.191.154,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
117.27.156.69,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
117.27.141.203,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
114.244.71.213,907,SYN/RST pairs to serveral hosts,Scan,Client,TCP,
114.244.44.14,907,A client trying SYN packets to many hosts over 22 port,Scan,Client,TCP,
114.243.210.118,907,Scans on port 22,Scan,Client,TCP,
111.192.54.157,907,Syn packets to many hosts on port 1433 and port 3389,Scan,Client,TCP,
110.123.200.40,907,Syn packets to many hosts on 1433,Scan,Client,TCP,
104.6.150.106,907,Heavy flows and few smaller flows,Heavy,Server,HTTP,
104.248.56.107,907,Scans on port 23,Scan,Client,TCP,
103.31.227.80,907,SYN packets to various host on different ports,Scan,Client,MANY,
103.200.142.174,907,DNS queries sent to a single server 40 pkts every 5 seconds at 20 pkts/flow,Flood,Client,DNS,
101.252.200.138,907,Scans to port 1433,Scan,Client,TCP,
1.102.177.30,907,"UDP traffic to port 53413. 
This seems to be known exploit in execute commands  onnetis routers",Scan,Client,UDP,
91.69.94.6,1107,The client is sending ntp packets at a very low rate. One weird thing is src is cisco router and dest is a juniper router,low-rate,Client,NTP,
1.83.41.30,1107,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,
222.244.147.155,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
186.91.45.34,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
190.194.239.208,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
95.166.236.155,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
45.141.216.205,1107,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,
125.131.223.132,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
45.141.216.223,1107,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,
183.123.71.252,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
113.209.252.39,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
58.204.249.45,1107,The client is sending only syn packets on 1433 port,Scan,Client,TCP,
85.144.220.55,1107,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,
36.30.202.225,1107,"UDP packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,
139.95.178.230,1107,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,
114.11.16.240,1107,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,
114.13.182.89,1107,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,
182.161.84.93,1107,"TCP SYN & RST packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,TCP,
52.221.236.160,1107,TCP ACK packets from Cisco router to Juniper router,Scan,Client,TCP,
34.192.124.124,1107,TCP ACK packets from Cisco router to Juniper router,Scan,Client,TCP,
2.36.246.47,1107,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,
184.146.119.221,1107,The client is sending only syn packets on 445 port. This is the port used by wannacry attack,Scan,Client,TCP,
176.246.252.97,1107,TCP SYN packets to many hosts and at 3 ports.,Scan,Client,MANY,
5.124.81.179,1107,large number (>50K) TCP SYN packets to different hosts/ports,Scan,Client,MANY,
45.231.1.114,1107,Web server with one large download from client at 37 pkts/flow,Flood,Server,TCP,
203.77.160.81,1107,Seems like a UDP server on 56771 talking to many hosts on many ports 6 pkts/flow,low-rate,Server,UDP,
116.31.226.131,1107,"ISAKMP protocol traffic, key exchange",Flood,Client,UDP,
220.42.106.28,1107,A single flow 100 pkts/flow,Heavy,Server,HTTP,
205.126.74.77,1107,"Wev server traffic at port 80 and 443, majorly two flows",Flood,Server,HTTP,
173.194.204.247,1107,looks like a webserver traffic 443 to other hosts,Heavy,Server,HTTP,
17.5.87.54,1107,Web server traffic ,Heavy,Server,HTTP,
155.90.16.78,1107,Web server traffic 3.5k pkts/flow,Flood,Server,HTTP,
172.218.96.195,1107,Web server traffic 31 pkts/flow,Flood,Server,HTTP,
203.77.168.223,1107,Web server traffic 13 pkts/flow,low-rate,Server,HTTP,
74.250.154.182,1107,Web server traffic with udp and tcp traffic,Heavy,Server,HTTP,
203.77.162.46,1107,Web Server with many large downloads,Heavy,Server,HTTP,
173.194.204.49,1107,Web server predominantly based on udp,Heavy,Server,HTTP,
216.196.61.255,1107,Web server predominantly based on udp,Heavy,Server,HTTP,
203.77.170.120,1107,Looks like an IPMI server over UDP at 195 pkts/flow,Flood,Server,UDP,
133.98.68.236,1107,Looks like an IPMI server over UDP at 197 pkts/flow,Flood,Server,UDP,
133.123.14.56,1107,RST Attacks on a specific server port,low-rate,Server,TCP,
59.133.180.66,1107,SYN packets to several hosts,Scan,Client,TCP,
202.253.9.184,1107,Client interacting with several servers and different ports at 27 pkts/flow,Flood,Client,HTTP,
23.4.202.15,1107,Web server traffic on port 443 to multiple clients at 1.3k pkts/flow,Flood,Server,HTTP,
173.194.204.214,1107,,Heavy,Server,HTTP,
74.250.154.251,1107,Web server Traffic on port 443 to multiple clients,Heavy,Server,HTTP,
23.43.134.109,1107,"Web server traffic, howevre just one client. About 150 MB over 15 mins.",Heavy,Server,HTTP,
172.218.96.206,1107,Web server traffic with UDP and TCP flows to many clientts at 60 pkts/flow,Flood,Server,HTTP,
155.90.12.133,1107,Web server traffic to a single client. Looks like a  220 MB download from a client,Heavy,Server,HTTP,
155.90.16.112,1107,Web server traffic to a single client about 450MB,Heavy,Server,HTTP,
192.21.236.1,1107,250 pkts/flow,Flood,Server,HTTP,
31.149.93.182,1107,400 pkts/flow,Flood,Server,HTTP,
31.149.93.132,1107,377 pkts/flow,Flood,Server,HTTP,
203.77.165.12,1107,"Seems like a P2P traffic pattern, many src and dst ports used. ports > 1024",Heavy,Peer,TCP,
37.219.86.174,1006,"TCP SYN scan (with resets) only, but targeting 203.162.0.0/16 as above",Scan,Client,TCP,
36.119.49.26,1006,"UDP packets from cisco router to juniper router, Seems like scanning on dfferent dest IP",Scan,Client,UDP,
31.53.61.250,1006,"Looks like a normal web server, though there are quite a few repetitive flows. , 300pkts/flow",Flood,Server,HTTP,
31.53.61.244,1006,looks like a normal web server,Heavy,Server,HTTP,
27.232.203.247,1006,"Total of 144 SYN scans to 59 destinations on dst port 445, using just one src port. Dst spread over one subnet: 133.4.0.0/16",Scan,Client,TCP,
23.43.147.241,1006,"src is web server (443), with 33 connections to single dst IP (163.94.125.183). 
Supicious since each connection is of almost the same size 48MB of data. at 3k pkts/flow
Web server communicating to single client. All 33 downloads are of same size. , 3k pkts/flow",Flood,Server,HTTP,
23.35.198.167,1006,"a web server; communicating using 80 & 443, over TCP, 430 pkts/flow",Flood,Server,HTTP,
23.35.198.166,1006,A web server with close to 200 connections; many connectins have same size. But there are 64 clients; so might be normal visits to a few webpages. ,Heavy,Server,HTTP,
23.35.198.146,1006,Normal web server,Heavy,Server,HTTP,
23.32.252.142,1006,"src is web server (443), with 36 connections to single dst IP (163.94.125.183). 
Supicious since each connection is of almost the same size 48MB of data. at 3k pkts/flow
src is web server (443), with downloads from a single client, but all of same size. 3k pkts/flow",Flood,Server,HTTP,
216.76.206.16,1006,"(1) TCP flows are mostly SYN scans. (2) Same src port used for UDP flows, all to SNMP port (57239). 3) Also DNS queries from the same port (both TCP and UDP)",Scan,Client,Many,
216.76.202.87,1006,"(1) TCP flows are mostly SYN scans. (2) Same src port used for UDP flows, all to SNMP port (57239). 3) Also DNS and NTP queries from the same port (both TCP and UDP)",Scan,Client,Many,
206.137.126.226,1006,155 connections to a HTTPS servers; not really normal 150 pkts/flow ,Flood,Client,HTTP,
203.162.157.88,1006,P2P traffic? No. of src ports ~= no. of dst ports ~= no. of dst IPs; many ports above 1024,Heavy,Peer,TCP,
203.162.157.77,1006,P2P traffic? No. of src ports ~= no. of dst ports ~= no. of dst IPs; many ports above 1024,Heavy,Peer,TCP,
203.162.157.105,1006,P2P traffic? No. of src ports ~= no. of dst ports ~= no. of dst IPs; many ports above 1024,Heavy,Peer,TCP,
203.162.154.80,1006,"3 million 1400b packets from HTTP server to a client, but with Ack no. is 0,  src is web server, and there is one elephant flows, also connections to over 500 dsts",Heavy,Server,HTTP,
203.162.152.143,1006,"over 15000 UDP flows, no elephant, 50K dst IPs and 26K dst ports at 6 pkts/flow (fsp=720)",low-rate,peer,UDP,
203.162.151.93,1006,"Web server, also running NAS/QNAP keep alives. [Dinil] Way too many short  connections (check seq no. of FIN packets), 25 pkts/flow",Flood,Server,HTTP,
202.9.77.196,1006,"Very active client with 1000s of flows, communicating with 883 dsts using 21 dports 14 pkts/flow",low-rate,Client,Many,
202.4.32.242,1006,"Traffic from a client to multiple servers (80/443), but suspicous part is, 
(i) there is small number of random dst ports contacted, 
(ii) no. of parallel connections , 
(iii) src port has a sequence (search for 52151)
(iv) connects to 725 dst IPs 45 pkts/flow",Flood,Client,TCP,
202.36.147.165,1006,Server being attacked by one client with repeated small connections of same pattern,low-rate,Server,TCP,
202.215.14.97,1006,"Looks like a normal web server, 750 pkts/flow",Flood,Server,HTTP,
202.215.14.109,1006,looks like a normal web server,Heavy,Server,HTTP,
192.229.239.159,1006,"A web server communicating to 38 clients over TCP ports 443 (mostly) and 80. 
There are close to 150K packets and 1200 connections though. 126 pkts/flow
SYN and RST to several servers ports (23)",Flood,Server,HTTP,
192.0.82.63,1006,"source is a DNS server, but sending only NXDOMAIN responses. Clearly flooded by three IPs in 203.162.0.0/16 network",low-rate,Server,DNS,
191.229.216.236,1006,"Total of 65 SYN scans to 33 destinations on dst port 445, using just one src port. Dst spread over one subnet: 133.4.0.0/16",Scan,Client,TCP,
190.45.124.105,1006,"SYN scan - multiple dst hosts in different subnets (133.4.0.0/16, 203.162.0.0/16, 202.9.0.0/16, etc.), but same dport 1143",Scan,Client,TCP,
188.190.20.103,1006,"Total of 158 SYN scans to 79 destinations on dst port 1433, using just one src port. Dst spread over multiple subnets",Scan,Client,TCP,
187.22.218.170,1006,"SYN scan - multiple dst hosts in different subnets (133.4.0.0/16, 203.162.0.0/16, 202.9.0.0/16, etc.), but same dport 1143",Scan,Client,TCP,
187.181.59.65,1006,"SYN scans on multiple dst hosts (133.4/16 subnet), over only Wannacry port",Scan,Client,TCP,
187.132.9.191,1006,"TCP SYN scan targeting 133.4.0.0/16 network, on Wannacry port (445) - sport 61551",Scan,Client,TCP,
185.114.98.39,1006,"(1) TCP flows are mostly SYN scans. (2) Same src port used for UDP flows, all to SNMP port (57239). 3) Also DNS queries from the same port
(similar characteristics as above, targeting 203.162.0.0/16 network among others, similar dst UDP ports)",Scan,Client,Many,
182.59.2.91,1006,"Total of 65 SYN scans to 33 destinations on dst port 1433, using just one src port. Dst spread over multiple subnets: 202.4.0.0/16, 133.4.0.0/16",Scan,Client,TCP,
182.30.151.29,1006,"TCP SYN scan only, but targeting 203.162.0.0/16 as above",Scan,Client,TCP,
180.102.230.153,1006,A numner of small connections to mail server. Could be some error in the network. 7 pkts/flow,low-rate,Client,TCP,
175.96.89.128,1006,"SYN scans on multiple dst hosts (133.4/16 subnet), over only Wannacry port",Scan,Client,TCP,
173.195.54.252,1006,"Web server traffic to two clients (1 over TCP and 1 UDP), UDP 2/3rd. 1.7k pkts/flow",Flood,Server,HTTP,
173.195.52.59,1006,Normal web server. Uses UDP. Heavy flows,Heavy,Server,HTTP,
172.33.10.20,1006,"a normal web server, running on TCP port 443, connecting to around 450 clients. Could be normal, 31 pkts/flow,",Flood,Server,HTTP,
163.94.238.104,1006,"[Active client with 1303 flows, to a small number of dst IPs over ports 8081,8082,8033 mostly] 5 pkts/flow",low-rate,Client,TCP,
163.94.2.187,1006,"Around 1000 HTTP connections of almost the same pattern, to multiple web servers 9 pkts/flow",low-rate,Client,TCP,
163.94.124.75,1006,"Suspicious client talking to 121 dsts over multiple dst ports. Prop elephant is high 0.9. But max flow size is 11MB. 
Not really an elephant. src and dst ports are mostly large numbers. P2P? Should be flood? ",Flood,Peer,HTTP,
163.94.124.117,1006,A client establishing around 200 connections to a server but to dst port 12000,Flood,Client,TCP,
163.94.124.108,1006,"Over 600 flows to a web server, with many flows of the same size 183 pkts/flow",Flood,Client,HTTP,
139.98.16.223,1006,SYN scan,Scan,Client,TCP,
133.4.66.70,1006,Not a web server. Responding to close to 2K dsts. Clearly being attacked. Mostly scans. Both UDP and TCP. Also likely target of the above scans going by the IP address,Scan,Server,Many,
133.26.158.203,1006,"Looks like a DNS server. But multiple common ports (53, 22, 25, 80) ports used, mostly UDP. Likely being flooded. at 21 pkts/flow",Flood,Server,UDP,
133.26.137.232,1006,UDP web server traffic. Elephant proportion is high.,Heavy,Server,HTTP,
123.8.94.246,1006,"TCP SYN scan targeting 133.4.0.0/16 network, over only Wannacry port",Scan,Client,TCP,
120.230.111.157,1006,Normal web server talking to two clients over TCP. Looks normal at 2500 pkts/flow,Flood,Server,HTTP,
120.167.30.169,1006,"SYN scan - multiple dst hosts in different subnets (133.4.0.0/16, 203.162.0.0/16, 202.9.0.0/16, etc.), but same dport 1143",Scan,Client,TCP,
117.45.233.67,1006,"Web server with 55 connections to just one dst. Only suspicious point is, all connections are of almost the same size (1.6MB).  
Grey area - could be considered nomal too. at 1k pkts/flow",Flood,Server,HTTP,
114.136.206.225,1006,"TCP SYN scan (with resets) only, but targeting 203.162.0.0/16 as above,  to single dst port (22)",Scan,Client,TCP,
113.182.148.103,1006,"TCP SYN scan only, but targeting 203.162.0.0/16 as above, same dst port 1143",Scan,Client,TCP,
95.71.40.151,1218,"TCP scan from one host to many hosts 2 ports (445,1433), each time 2",Scan,Client,TCP,
89.73.221.194,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
89.61.220.79,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
89.52.132.74,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
85.234.227.247,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
77.234.137.109,1218,"TCP scan from one host to many hosts 1 ports (53389), each time 2. (subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
72.38.211.147,1218,SYN scanning on a network of dst IPs on port 445 (Wannacry),Scan,Client,TCP,
69.152.244.229,1218,"NTP flooding attack, source is attacker, 1.6K querie to 2 different DNS
servers in 15mins",Flood,Client,NTP,
61.225.71.253,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app)",Scan,Client,TCP,
60.112.27.13,1218,"TCP scan from one host to many hosts 1 port (1433), each time 2. (single src port ---> one process & app)",Scan,Client,TCP,
59.254.166.170,1218,"TCP scan from one host to many hosts 1 port (2222), each time 2 sync",Scan,Client,TCP,
52.111.32.214,1218,"TCP low-rate, source is a SSH server, the same client/attacker is trying to connect, 26 SYN and 46 FIN in 15min.",low-rate,Server,NTP,
45.243.131.191,1218,"TCP scan from one host to many hosts 2 ports (445,1433), each time 2",Scan,Client,TCP,
45.243.131.167,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
45.243.131.166,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
45.243.131.164,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app)",Scan,Client,TCP,
45.189.57.254,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
41.76.16.122,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
37.144.105.27,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (2 src ports in use)",Scan,Client,TCP,
35.114.105.137,1218,"Low Rate TCP, source is server on TCP port 9000,  interesting behavior of opening many TCP session SYN packet with the same ISN in a short",low-rate,Server,TCP,
35.112.152.57,1218,"A web server serving 232 clients. Connections are < 10-20MBs. Only one dst, and it is 202.248.32.244, 2k pkts/flow",Flood,Server,TCP,
34.239.51.64,1218,"Low Rate TCP,  source is HTTPS server (443), 22 pairs of SIN/FIN, many short connections of 6-7 packets, ave_pkt=6.7, max_pkt=11, max_byte=4.6K.",low-rate,Server,HTTP,
31.74.162.61,1218,"src is web server (443), 30% elephant, total 819MB, max 73MB, to single IP 122MB, 167 pkts/flow",Flood,Server,HTTP,
31.74.162.23 ,1218,"source is 443, elephant=3.4%, ave_byte=600KB, max_byte=17.6MB,
total_byte=3.24GB, nflow=5433, otherip=77, 425 pkts/flow",Flood,Server,HTTP,
31.74.162.23,1218,"A web server sending 2.3 million packets to 83 dsts, but majority go to 202.248.32.244 over 4700+ connections. Clearly under attack. Some of these flows are big in size.",Flood,Server,TCP,
31.150.64.13,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
23.93.249.94,1218,"src is web server, >15 heavy flows (out of 33), 99.9% elephant flows  ",Heavy,Server,HTTP,
23.93.249.75,1218,"src is web server, 1GB, 96% elephant, 1 530MB flows",Heavy,Server,HTTP,
23.80.241.217,1218,"Low Rate TCP, source is ssh server (443),  28 Syn, 78 FIN, server terminates many TCP connections after long idle period (~10s or more), ave_pkt=6.9, max_pkt=51, max_byte=61K",low-rate,Server,TCP,
23.80.241.186,1218,"A web server sending just 11K packets to multiple clients, with 3/4th going to one client over 64 connections. Same client (202.248.32.244) that flooded 117.60.46.109. Suspicious activity",Flood,Server,TCP,
23.76.17.69,1218,"src is web server (443), 21 flows, 29MB, all connections to 1 dest IP, 931 pkts/flow",Flood,Server,HTTP,
23.34.86.234,1218,"Low Rate TCP, HTTPS server, too many short flows, ave_dur=48s, ave_pkt=9.4, max_dur=61s, max_pkt=13, max_byte=8K, 20 flows",low-rate,Server,HTTP,
220.29.158.181,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
219.230.64.113,1218,"A client connecting to 2 web servers, establishing 20 connections downloading exactly the same size (34MB) each time, 12k pkts/flow",Flood,Client,TCP,
216.3.24.43,1218,"A web server sending just 42K packets to 96 dsts, but majority go to two specific IP addreses (202.248.32.244 and 202.248.32.110). Both together have 1100+ connections. ",Flood,Server,TCP,
213.147.145.191,1218,"NTP flooding attack, source is attacker, 23K queries to 2 different DNS servers in 15mins, 4 pkts/flow
flooding, DNS queries from one source to 2 DNS servers (23K queries in 12.5min, ~31/sec), 4 pkts/flow",Flood,Client,NTP/DNS,
212.68.110.251,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
210.84.149.187,1218,"TCP scan from one host to many hosts 1 ports (1433), each time 2 sync",Scan,Client,TCP,
204.96.60.8,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
204.96.60.56,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
204.96.60.47,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app)",Scan,Client,TCP,
204.96.60.170,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
204.96.60.156,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
204.96.60.113,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
203.136.144.53,1218,"source is client, extremely busy, sending large number updates to ssh rsync, snmp, lots of UDP fragements. Could be normal/client, but label as heavy/client for the time being, 140 pkts/flow",Flood,Client,Many,
203.115.125.136,1218,"src is victim, 1770 DNS response, 983 UDP fragment (ip-proto-17), from 6 client IP, 4 pkts/flow",low-rate,Server,DNS,
203.115.123.168,1218,"Web server. Though there are some heavy flows, there are large numner of minimal connection flows (established and closed) - 1300+ flows. ",Heavy,Server,TCP,
203.115.123.165,1218,"source is 443, nflow=1078, otherip=13, two dst-ip sends >60% of packets, 126 pkts/flow",Flood,Server,TCP,
203.115.120.199,1218,"Malicious host sending mostly SYN packets and ICMP packets. But very specific and unusual ports in use (61000 & 62000 at src, and 63000 at dst)",Scan,Client,TCP,
203.115.120.185,1218,"Heavy. 2.4M NTP response from a NTP server, Pravein"" Could be an NTP attack",Flood,Server,NTP,
203.115.116.202,1218,"A host having connections with 2110 dsts, mostly over port 4001 (both sides). Many small connections. P2P?  66 pkts/flow",Flood,Peer,TCP,
203.115.113.192,1218,A web server. There's one elephant flow (1.5GB) to 39.60.72.117,Heavy,Server,HTTP,
202.26.54.213,1218,"TCP scan from one host to many hosts 1 port (1433), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
202.248.32.244,1218,"The culprit in the above attacks flooding web servers, 100 pkts/flow",Flood,Client,TCP,
202.246.134.25,1218,"src is  client, 10444/15730 are ICMP time exceeded messages, 2717 DNS queries.",Scan,Client,ICMP+DNS,
202.102.189.244,1218,"source sends only to port 80 or 443.9290 flows, 1039 otherip, ave_dur = 60s, no elephant, max_byte=7.9MB,
ave_byte=8K, 30 pkts/flow",Flood,Client,TCP,
201.204.7.32,1218,,Scan,Client,TCP, 
198.105.29.76,1218,"A web server sending 500K+ packets to (almost always) a single dst (163.201.174.201), over close to 10,000 connections. Clearly flooded by the dst. Connections aren't large sizes. 55 pkts/flow",Flood,Server,TCP,
197.29.8.75,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
194.202.236.193,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
190.160.126.117,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
189.208.40.213,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
186.9.128.237,1218,Only 130 packets. Scanning 1433 and 445 (Wannacry),Scan,Client,TCP,
185.89.216.49,1218,"src is client, 107090/112818 are SYN packets to different IP & Ports",Scan,Client,Many,
185.203.100.97,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
182.247.124.157,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
182.161.14.236,1218,436 packets. Sending SYN and RST packets to the same dst IP and port (443). 13 pkts/flow,low-rate,Client,TCP,
181.116.152.88,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
18.120.166.137,1218,"Low Rate TCP, HTTPS server, too many short flows, ave_dur=41s, ave_pkt=12, max_dur=146s, max_pkt=25, max_byte=7K, 25 flows",low-rate,Server,HTTP,
179.148.107.75,1218,"TCP scan from one host to many hosts 2 ports (445,1433), each time 2",Scan,Client,TCP,
176.201.38.11,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
176.138.248.21,1218,"src is client, 435723/439574 are single SYN packets to different ports, 2 ports for each IP dest.",Scan,Client,Many,
173.34.229.100,1218,"Web server. 10-20 connections, each around 10-20MB of size. ",Heavy,Server,HTTP,
173.34.207.108,1218,"src is web server (443), total 813MB, elephant 88%, 100MB, 352MB to single IP",Heavy,Server,HTTP,
172.35.248.125,1218,"Low Rate TCP, HTTPS server, too many short flows, ave_pkt=12, max_pkt=23, max_byte=6.8K, 30 flows",low-rate,Server,HTTP,
172.217.110.149,1218,"A web server sending just 35K packets to 141 dsts, but majority go to two specific IP addreses (202.248.32.244 and 202.248.32.110). Both together have 800+ connections. ",Flood,Server,TCP,
172.217.107.228,1218,"source is  443, total 5GB, max_byte 1.75GB",Heavy,Server,HTTP,
172.217.107.226,1218,"source is 443, total 83MB, max_byte 43MB, prop_elephant > 0.5, Heavy?",Heavy,Server,HTTP,
171.16.84.132,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (multiple src ports)",Scan,Client,TCP,
17.6.216.208,1218,"src is web server (443), 99.6% elephant, total 854MB, max 163MB, 99% of all packets is to a single IP dest.",Heavy,Server,HTTP,
17.6.212.62,1218,"src is web server (80), total 865MB, max 332MB, 98% elephant",Heavy,Server,HTTP,
17.6.212.61,1218,Web server sending around 750K packets to 95 dsts of one network - 163.201/0/0/16. Looks normal,Heavy,Server,HTTP,
163.201.51.229,1218,"src is client,  14064 out of 14278, all FIN flags to one HTTP port 80 server (no SYN, no connection  setup), 356 pkts/flow",Flood,Client,HTTP,
163.201.174.201,1218,Flooding the web server in the above row (198.105.29.76) 46 pkts/flow,Flood,Client,TCP,
162.160.55.74,1218,"TCP scan from one host to many hosts 1 ports (445), each time 2. (dst is all from a subnet 133.164.0.0/24)",Scan,Client,TCP,
159.31.176.13,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
158.89.163.21,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app)",Scan,Client,TCP,
154.221.114.82,1218,"TCP scan from one host to many hosts 2 ports (445,1433), each time 2",Scan,Client,TCP,
151.229.59.54,1218,A web server sending just 12K packets to one client over 53 connections. Same client (202.248.32.244) that flooded 117.60.46.109. Suspicious activity,Flood,Server,TCP,
145.0.230.186,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2. (single src port ---> one process & app;  subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
139.157.241.85,1218,Ony 141 packets. Scanning on port 22,Scan,Client,TCP,
133.188.153.158,1218,Not a web server. Only 76K packets. But flooded by a dst client (103.46.165.101) with around 8K connections. 7pkts/flow,low-rate,Server,TCP,
133.188.153.157,1218,"Not a web server. Only 130K packets. But flooded by a dst client (103.46.165.101) with around 13K connections. It's application flood though (on port 25), i.e., connections are established. 9 pkts/flow",low-rate,Server,TCP,
133.188.143.104,1218,"src is victim, 35K+ DNS response, 71K UDP fragment (ip-proto-17), from 110+ client IP, 29 pkts/flow",Flood,Server,DNS,
133.164.178.69,1218,A machine sending 22K RST to close to 8000 dst IPs. Possibly responding to scans. This src IP is the target of many other scan attacks we see in this pcap.,Scan,Server,TCP,
13.124.231.134,1218,"Low Rate TCP, HTTPS server, too many short flows, ave_dur=10s, ave_pkt=7, max_dur=44s, max_pkt=19, max_byte=19K, 23 flows",low-rate,Server,HTTP,
128.62.91.17,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
125.243.27.251,1218,"TCP scan from one host to many hosts 2 ports (1433,445), each time 2",Scan,Client,TCP,
124.42.255.197,1218,"TCP scan from one host to many hosts 1 port (445), each time 2. (subnet 133.164.0.0/24 present in dst)",Scan,Client,TCP,
121.201.99.176,1218,"TCP scan from one host to many hosts 2 ports (445,1433), each time 2",Scan,Client,TCP,
117.60.46.109,1218,"A web server sending close to a million packets to 72 dsts, with one dst (202.248.32.244) having a majority share (650K+ packets) and having 2200+ connections on its own. Way too many connections from a single client. Malicious.",Flood,Server,TCP,
